"■資産合計欄"
"","時価評価額[円]","前日比[円]","前日比[％]","前月比[円]","前月比[％]","評価損益[円]","評価損益[％]","","実現損益[円]","配当・分配金[円貨]","配当・分配金[外貨]"
"資産合計","281,368","+14,350","+5.37","+35,968","+14.66","+22,323","-","","+10","618","0.00"

"保有商品の評価額合計","279,215","+13,319","+5.01","+34,330","+14.02","+22,323","-","","","",""
"国内株式","146,462","+13,352","+10.03","+20,908","+16.65","+9,702","-","","+42","0",""
"米国株式","28,360","+130","+0.46","-62","-0.22","+1,228","-","","-32","618","0.00"
"中国株式","0","0","0.00","0","0.00","0","-","","-","0",""
"アセアン株式","0","0","0.00","0","0.00","0","-","","-","",""
"投資信託","94,393","-163","-0.17","+13,484","+16.67","+11,393","-","","-","0",""
"楽天・マネーファンド","0","0","0.00","0","0.00","-","-","","-","",""
"外貨建MMF","0","0","0.00","0","0.00","0","-","","-","",""
"国内債券","10,000","0","0.00","0","0.00","0","-","","-","",""
"外国債券","0","0","0.00","0","0.00","0","-","","-","",""
"金・プラチナ","0","0","0.00","0","0.00","0","-","","-"

"預り金合計","2,153","+1,031","+91.89","+1,638","+318.06","-","-","","","",""
"預り金","2,153","+1,031","+91.89","+1,638","+318.06","-","-","","","",""
"外貨預り金","0","0","0.00","0","0.00","-","-","","","",""

"楽天銀行普通預金残高","未取得"


"■ 保有商品詳細 (すべて）"

"種別","銘柄コード・ティッカー","銘柄","口座","保有数量","［単位］","平均取得価額","［単位］","現在値","［単位］","現在値(更新日)","(参考為替)","前日比","［単位］","時価評価額[円]","時価評価額[外貨]","評価損益[円]","評価損益[％]"
"国内株式","2914","日本たばこ産業","NISA成長投資枠","1","株","5,700.00","円","6,254.0","円","","","+74.0","円","6,254","-","+554","+9.71"
"国内株式","3407","旭化成","NISA成長投資枠","1","株","1,530.00","円","1,729.0","円","","","-21.0","円","1,729","-","+199","+13.00"
"国内株式","4063","信越化学","NISA成長投資枠","1","株","4,660.00","円","7,476.0","円","","","+59.0","円","7,476","-","+2,816","+60.42"
"国内株式","4661","オリエンタルランド","NISA成長投資枠","1","株","2,205.00","円","2,149.0","円","","","-21.0","円","2,149","-","-56","-2.53"
"国内株式","5401","日本製鉄","NISA成長投資枠","30","株","599.86","円","556.2","円","","","-3.2","円","16,686","-","-1,310","-7.27"
"国内株式","6526","ソシオネクスト","NISA成長投資枠","3","株","1,987.66","円","2,295.0","円","","","+60.0","円","6,885","-","+923","+15.47"
"国内株式","6965","浜松ホトニクス","NISA成長投資枠","1","株","2,190.00","円","2,157.0","円","","","-5.5","円","2,157","-","-33","-1.50"
"国内株式","7011","三菱重工業","NISA成長投資枠","1","株","3,910.00","円","4,162.0","円","","","-244.0","円","4,162","-","+252","+6.44"
"国内株式","7267","本田技研","NISA成長投資枠","8","株","1,401.25","円","1,320.0","円","","","+48.0","円","10,560","-","-650","-5.79"
"国内株式","8001","伊藤忠","NISA成長投資枠","1","株","2,035.00","円","2,044.0","円","","","-45.0","円","2,044","-","+9","+0.44"
"国内株式","8058","三菱商事","NISA成長投資枠","2","株","3,646.50","円","5,882.0","円","","","+18.0","円","11,764","-","+4,471","+61.30"
